data_carga,ANO_Convenio,NR_CONVENIO,SIT_CONVENIO,COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,PROGRAMA,ACAO,MAX_VL_GLOBAL_CONV,SOMA_VALOR_AGREGADO,PERC_EXECUCAO,VALOR_A_EXECUTAR
2026-06-01 06:52:13,2019,882875,Prestação de Contas em Análise,1400175,CANTÁ,RR,Programa Calha Norte,1211,1022200.0,993113.67,0.9715453629426727,29086.329999999958
2026-06-01 06:52:13,2019,882900,Prestação de Contas em Análise,1301407,EIRUNEPÉ,AM,,,902000.0,537258.61,0.5956303880266075,364741.39
2026-06-01 06:52:13,2019,882922,Prestação de Contas em Análise,1600238,FERREIRA GOMES,AP,,,1529596.0,1231409.18,0.8050551779685616,298186.82000000007
2026-06-01 06:52:13,2019,882932,Em execução,1300201,ATALAIA DO NORTE,AM,Programa Calha Norte,1211,1185161.0,615105.73,0.5190060506547212,570055.27
2026-06-01 06:52:13,2019,882977,Em execução,1400100,BOA VISTA,RR,Programa Calha Norte,1211,2004500.0,1499795.62,0.7482143277625344,504704.3799999999
2026-06-01 06:52:13,2019,882984,Em execução,1300201,ATALAIA DO NORTE,AM,Programa Calha Norte,1211,571481.0,358035.07999999996,0.6265039082664164,213445.92000000004
2026-06-01 06:52:13,2019,882985,Em execução,1100056,CEREJEIRAS,RO,,,1786392.0,1278754.26,0.715830713527602,507637.74
2026-06-01 06:52:13,2019,884024,Em execução,1600402,MAZAGÃO,AP,Programa Calha Norte,1211,644494.55,439271.28,0.6815748558308212,205223.27000000002
2026-06-01 06:52:13,2019,884027,Prestação de Contas em Análise,5107107,SÃO JOSÉ DOS QUATRO MARCOS,MT,Programa Calha Norte,1211,444601.55,366402.23000000004,0.8241137036071963,78199.31999999995
2026-06-01 06:52:13,2019,884154,Prestação de Contas em Análise,1400472,RORAINÓPOLIS,RR,Programa Calha Norte,1211,1483150.0,1273941.1500000001,0.8589428918180899,209208.84999999986
2026-06-01 06:52:13,2019,884159,Prestação de Contas em Análise,1600501,OIAPOQUE,AP,Programa Calha Norte,1211,990000.0,31656.039999999997,0.03197579797979798,958343.96
2026-06-01 06:52:13,2019,884163,Em execução,1600055,SERRA DO NAVIO,AP,Programa Calha Norte,1211,981000.0,466281.14999999997,0.4753120795107033,514718.85000000003
2026-06-01 06:52:13,2019,884165,Em execução,1600055,SERRA DO NAVIO,AP,Programa Calha Norte,1211,981000.0,741359.22,0.7557178593272171,239640.78000000003
